ID,Priority,Country,Company,Type,Website,Touch Point (Target Role),Contact Person,Contact Role,Contact LinkedIn URL,Contact Email,Status,First Contact Date,First Contact Channel,Last Material Sent,Last Comm Date,Next Action,Next Action Date,Use Case Interest,Quote Value (USD),Lead Source,Notes
NZ-2,🔴 High,NZ,The Promo Lab NZ,Distributor (AU+NZ unified),thepromolab.co.nz,Director / Account Manager,,,,,Planned,,,,,,,,,APPA NZ / Research,
NZ-3,🟡 Mid,NZ,Atutahi,Distributor + Health / Māori positioning,atutahi.nz,Sourcing,,,,,Planned,,,,,,,,,Research (good for Pause set),
NZ-4,🟢 Try,NZ,Spoil Me,Distributor / Gift Box,spoilme.co.nz,Sourcing,,,,,Planned,,,,,,,,,Research,
NZ-5,🟡 Mid,NZ,Sense2 NZ,Wellness category (AU/NZ sister to Sense2),sense2.co.nz,Sourcing,,,,,Planned,,,,,,,,,Research,
SG-1,🔴 High,SG,Amphasis Design,Distributor (2003 24h rush),amphasisdesign.com,Founder / Sales Director,,,,,Planned,,,,,,,,,Research,
SG-2,🔴 High,SG,Nanyang Gifts,Distributor (10+ years end-to-end),nanyanggifts.com,Sourcing Manager,,,,,Planned,,,,,,,,,Research,
SG-3,🔴 High,SG,The Gift Empire,Distributor (1999 MNC/Gov clients),giftempire.com.sg,Sales Director,,,,,Planned,,,,,,,,,Research,
SG-4,🔴 High,SG,DC9 Gifts,Premium Distributor,dc9gifts.com.sg,Sales Manager,,,,,Planned,,,,,,,,,Research,
SG-5,🔴 High,SG,DTC World Corporation,Premium Distributor,dtcworld.com.sg,Procurement / Sourcing,,,,,Planned,,,,,,,,,Research,
SG-6,🟡 Mid,SG,Singapore Corporate Gifts International,Govt/Bank/Hotel 4000+ SKU,,Sales,,,,,Planned,,,,,,,,,Research (need to find URL),
SG-7,🟡 Mid,SG,Global Asia Printings (GAPS),Premium Distributor + Print,globalasiaprintings.com,Sourcing,,,,,Planned,,,,,,,,,Research,
SG-8,🟡 Mid,SG,Ministry of Print,Distributor + Print Services,ministryofprint.com.sg,Sourcing,,,,,Planned,,,,,,,,,Research,
SG-9,🟢 Try,SG,The Gift Expert,Content platform + Distributor,thegiftexpert.com,Editor / Partnership,,,,,Planned,,,,,,,,,Research,
SG-10,🟢 Try,SG,HappyBird,Mid-tier Distributor,happybird.com.sg,Sourcing,,,,,Planned,,,,,,,,,Research,
AE-1,🔴 High,AE,Belfast Gifts Trading,#1 UAE supplier (25+ years 600+ SKU),belfast-uae.com,Founder / Director,,,,,Planned,,,,,,,,,Research,
AE-2,🔴 High,AE,Merchlist UAE,Distributor + Online platform,themerchlist.com,Founder / Operations,,,,,Planned,,,,,,,,,Research,
AE-3,🔴 High,AE,Jasani UAE,Old-line Distributor,jasani.ae,Sales Director,,,,,Planned,,,,,,,,,Research,
AE-4,🟡 Mid,AE,Chops UAE,Premium Gift Distributor,chops.ae,Sales,,,,,Planned,,,,,,,,,Research,
AE-5,🟡 Mid,AE,Al Hadiya Advertising,Distributor + Print,alhadiyaadvertising.ae,Sales,,,,,Planned,,,,,,,,,Research,
AE-6,🟡 Mid,AE,Shass Gifts,Distributor (10+ years 6000+ SKU),,Sourcing,,,,,Planned,,,,,,,,,Research (need to find URL),
AE-7,🟡 Mid,AE,Eventgift,Premium Gift Distributor,eventgift.net,Sales,,,,,Planned,,,,,,,,,Research,
AE-8,🟢 Try,AE,Motivators UAE,Distributor + Consulting,motivatorsuae.com,Sales,,,,,Planned,,,,,,,,,Research,
HK-1,🟡 Mid,HK,GiftU (iGiftU),Distributor (2000+ SKU),giftu.com.hk,Sales / Sourcing,,,,,Planned,,,,,,,,,Research,
HK-2,🟡 Mid,HK,B2B Gifts Shop HK,Premium Gift Distributor,b2bgiftsshop.com,Sourcing,,,,,Planned,,,,,,,,,Research,
HK-3,🟡 Mid,HK,BrandHK,Premium Distributor,brandhk.com,Sales,,,,,Planned,,,,,,,,,Research,
HK-4,🟢 Try,HK,Fulcorn Corporate Gift,One-stop Distributor,fc.com.hk,Sourcing,,,,,Planned,,,,,,,,,Research,
HK-5,🟢 Try,HK,Matrix Promotion Limited,Distributor + Own production,matrixgroup.com.hk,Sales,,,,,Planned,,,,,,,,,Research,
